          I                 re(RITZ)                 im(RITZ)                 ln|RITZ|                arg(RITZ)
           1   1.0145346755210296       0.15273234640729647       0.12817670682966623       0.74711082021806541     
           2   1.0145346755210296      -0.15273234640729647       0.12817670682966623      -0.74711082021806541     
           3  0.98363535186368045       0.15632528309692367       -2.0140662903955827E-002  0.78803972965491631     
           4  0.98363535186368045      -0.15632528309692367       -2.0140662903955827E-002 -0.78803972965491631     
           5  0.98840267733304366        0.0000000000000000       -5.8325480583768664E-002   0.0000000000000000     
           6  0.97292844326432526       0.13989059194057443       -8.6066809852897011E-002  0.71402149247507962     
           7  0.97292844326432526      -0.13989059194057443       -8.6066809852897011E-002 -0.71402149247507962     
           8  0.95890937305765167       0.17552052314197325      -0.12740537362929588       0.90518866151354682     
           9  0.95890937305765167      -0.17552052314197325      -0.12740537362929588      -0.90518866151354682     
          10  0.96599826103411379       0.10365950912958488      -0.14434309820438143       0.53449555026888584     
          11  0.96599826103411379      -0.10365950912958488      -0.14434309820438143      -0.53449555026888584     
          12  0.94168492060623044       0.19864784855066300      -0.19157780385034151        1.0395064973158978     
          13  0.94168492060623044      -0.19864784855066300      -0.19157780385034151       -1.0395064973158978     
          14  0.94499680889277538       0.15548061159115292      -0.21609288363257650       0.81534668119752185     
          15  0.94499680889277538      -0.15548061159115292      -0.21609288363257650      -0.81534668119752185     
          16  0.92351446149782968       0.21819702865295876      -0.26204359146711487        1.1600668841568753     
          17  0.92351446149782968      -0.21819702865295876      -0.26204359146711487       -1.1600668841568753     
          18  0.96121338274034585        6.3614109820686437E-002 -0.18686834322478885       0.33042339573272639     
          19  0.96121338274034585       -6.3614109820686437E-002 -0.18686834322478885      -0.33042339573272639     
          20  0.95175878429340166        9.4931677301867134E-002 -0.22246930303893109       0.49707303813165937     
          21  0.95175878429340166       -9.4931677301867134E-002 -0.22246930303893109      -0.49707303813165937     
          22  0.96799497008311031        3.3763356627586193E-002 -0.15960230767066749       0.17432773711492500     
          23  0.96799497008311031       -3.3763356627586193E-002 -0.15960230767066749      -0.17432773711492500     
          24  0.94138037083131421       0.12720844400902387      -0.25680169991452417       0.67158050533488511     
          25  0.94138037083131421      -0.12720844400902387      -0.25680169991452417      -0.67158050533488511     
          26  0.95619088594416557        6.8674557115882481E-002 -0.21112608798424595       0.35848930384447636     
          27  0.95619088594416557       -6.8674557115882481E-002 -0.21112608798424595      -0.35848930384447636     
          28  0.93203593861933043       0.15971879823217974      -0.27956150343850594       0.84858497914820918     
          29  0.93203593861933043      -0.15971879823217974      -0.27956150343850594      -0.84858497914820918     
          30  0.92244110628499820       0.19112857534902655      -0.29857048862700042        1.0215384200130149     
          31  0.92244110628499820      -0.19112857534902655      -0.29857048862700042       -1.0215384200130149     
          32  0.91182360356463676       0.22225796755051247      -0.31725244717892392        1.1954435659562479     
          33  0.91182360356463676      -0.22225796755051247      -0.31725244717892392       -1.1954435659562479     
          34  0.90675419220902231       0.23059193621626506      -0.33275498025644529        1.2451305514327335     
          35  0.90675419220902231      -0.23059193621626506      -0.33275498025644529       -1.2451305514327335     
          36  0.90016875519488004       0.25322365523812290      -0.33546899855634715        1.3711007591846665     
          37  0.90016875519488004      -0.25322365523812290      -0.33546899855634715       -1.3711007591846665     
          38  0.89915053340899953       0.25292045241509498      -0.34115223577003090        1.3710143423030905     
          39  0.89915053340899953      -0.25292045241509498      -0.34115223577003090       -1.3710143423030905     
          40  0.88760479454884833       0.28395256595939961      -0.35255175902146502        1.5481009730426361     
          41  0.88760479454884833      -0.28395256595939961      -0.35255175902146502       -1.5481009730426361     
          42  0.88668465534926777       0.28317645490596183      -0.35852554802428993        1.5456362099816499     
          43  0.88668465534926777      -0.28317645490596183      -0.35852554802428993       -1.5456362099816499     
          44  0.87426985165058069       0.31420622765260914      -0.36813905988066575        1.7250893904346860     
          45  0.87426985165058069      -0.31420622765260914      -0.36813905988066575       -1.7250893904346860     
          46  0.87341796357850321       0.31317694104621568      -0.37432983033217693        1.7214223264611339     
          47  0.87341796357850321      -0.31317694104621568      -0.37432983033217693       -1.7214223264611339     
          48  0.86010106985768309       0.34373761777790290      -0.38308366743828981        1.9010141864112382     
          49  0.86010106985768309      -0.34373761777790290      -0.38308366743828981       -1.9010141864112382     
          50  0.85921969160693701       0.34264608940119473      -0.38969135935604110        1.8973034918369676     
          51  0.85921969160693701      -0.34264608940119473      -0.38969135935604110       -1.8973034918369676     
          52  0.84499762019500091       0.37242087643107563      -0.39831511768481159        2.0756166724343430     
          53  0.84499762019500091      -0.37242087643107563      -0.39831511768481159       -2.0756166724343430     
          54  0.84428683608564081       0.37130197651900049      -0.40428219683228661        2.0716202182962480     
          55  0.84428683608564081      -0.37130197651900049      -0.40428219683228661       -2.0716202182962480     
          56  0.95051829904119112        3.9567870008599029E-002 -0.24941091629477435       0.20801829139700076     
          57  0.95051829904119112       -3.9567870008599029E-002 -0.24941091629477435      -0.20801829139700076     
          58  0.92040932251462926       0.11590702658499506      -0.37534920391397836       0.62635227050023656     
          59  0.92040932251462926      -0.11590702658499506      -0.37534920391397836      -0.62635227050023656     
          60  0.92875736473478754        8.6187789789257480E-002 -0.34810178482940940       0.46267010579444107     
          61  0.92875736473478754       -8.6187789789257480E-002 -0.34810178482940940      -0.46267010579444107     
          62  0.93673907622039121        6.1470979602021893E-002 -0.31600990942214330       0.32764176927613375     
          63  0.93673907622039121       -6.1470979602021893E-002 -0.31600990942214330      -0.32764176927613375     
          64  0.93171323603945067        6.0881762109079571E-002 -0.34299915793520552       0.32625559893398803     
          65  0.93171323603945067       -6.0881762109079571E-002 -0.34299915793520552      -0.32625559893398803     
          66  0.93507452583152306        2.5211050290889891E-002 -0.33382857894468704       0.13477505488900418     
          67  0.93507452583152306       -2.5211050290889891E-002 -0.33382857894468704      -0.13477505488900418     
          68  0.94907984938208800        0.0000000000000000      -0.26131171680840654        0.0000000000000000     
          69  0.94893870762516808        0.0000000000000000      -0.26205534366420841        0.0000000000000000     
          70  0.94889420984620587        0.0000000000000000      -0.26228980992602058        0.0000000000000000     
          71  0.94836602544459070        7.1145585852538815E-005 -0.26507372821014935        3.7509560554807944E-004
          72  0.94836602544459070       -7.1145585852538815E-005 -0.26507372821014935       -3.7509560554807944E-004
          73  0.94830637107615601        4.9626173444925728E-005 -0.26538825663675480        2.6165685960386083E-004
          74  0.94830637107615601       -4.9626173444925728E-005 -0.26538825663675480       -2.6165685960386083E-004
          75  0.94816940636502001        0.0000000000000000      -0.26611046997273535        0.0000000000000000     
          76  0.94833658685769151        0.0000000000000000      -0.26522895157151771        0.0000000000000000     
          77  0.94766581818721751        0.0000000000000000      -0.26876675667489641        0.0000000000000000     
          78  0.94688096736294070        1.8863784501002169E-004 -0.27290934147214940        9.9610114162385337E-004
          79  0.94688096736294070       -1.8863784501002169E-004 -0.27290934147214940       -9.9610114162385337E-004
          80  0.94693924248096162        1.6564630468464018E-004 -0.27260165220696142        8.7464060820347000E-004
          81  0.94693924248096162       -1.6564630468464018E-004 -0.27260165220696142       -8.7464060820347000E-004
          82  0.94708086434095884        0.0000000000000000      -0.27185399715003078        0.0000000000000000     
          83  0.94694877824002943        0.0000000000000000      -0.27255137853295119        0.0000000000000000     
          84  0.94461134893435206        2.5680869200879827E-004 -0.28490835048295754        1.3593351698106234E-003
          85  0.94461134893435206       -2.5680869200879827E-004 -0.28490835048295754       -1.3593351698106234E-003
          86  0.94468562599895789        2.4568494821943101E-004 -0.28451521958926224        1.3003529212192910E-003
          87  0.94468562599895789       -2.4568494821943101E-004 -0.28451521958926224       -1.3003529212192910E-003
          88  0.94477102222470755        0.0000000000000000      -0.28406342686498692        0.0000000000000000     
          89  0.94462232600560470        0.0000000000000000      -0.28485043196135357        0.0000000000000000     
          90  0.93229839579447160        7.8183575984368623E-003 -0.35033593093661897        4.1929570839520078E-002
          91  0.93229839579447160       -7.8183575984368623E-003 -0.35033593093661897       -4.1929570839520078E-002
          92  0.94157678559683622        2.4618349017892466E-004 -0.30099671684309764        1.3072937243940228E-003
          93  0.94157678559683622       -2.4618349017892466E-004 -0.30099671684309764       -1.3072937243940228E-003
          94  0.94148043865332254        2.6974971552577102E-004 -0.30150833421866308        1.4325826489300730E-003
          95  0.94148043865332254       -2.6974971552577102E-004 -0.30150833421866308       -1.4325826489300730E-003
          96  0.94164588394125381        0.0000000000000000      -0.30062997232067851        0.0000000000000000     
          97  0.94146206352226680        0.0000000000000000      -0.30160612676694099        0.0000000000000000     
          98  0.93822095440017661        0.0000000000000000      -0.31884899326785060        0.0000000000000000     
          99  0.93820306279791155        0.0000000000000000      -0.31894434273098693        0.0000000000000000     
         100  0.93730854016104637        4.1149257596030550E-004 -0.32371334727603368        2.1950752174591912E-003
         101  0.93730854016104637       -4.1149257596030550E-004 -0.32371334727603368       -2.1950752174591912E-003
         102  0.93731875400739706        3.8036346514577437E-004 -0.32365893275107993        2.0289973002301405E-003
         103  0.93731875400739706       -3.8036346514577437E-004 -0.32365893275107993       -2.0289973002301405E-003
